session_id,uid,tA,tB,dt
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.236932Z,2025-11-10T13:08:03.248350Z,-0.011418
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.504311Z,2025-11-10T13:08:03.248350Z,0.255961
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.504311Z,2025-11-10T13:08:03.441738Z,0.062573
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.504311Z,2025-11-10T13:08:03.940225Z,-0.435914
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.745357Z,2025-11-10T13:08:03.940225Z,-0.194868
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.023789Z,2025-11-10T13:08:03.940225Z,0.083564
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.023789Z,2025-11-10T13:08:04.158206Z,-0.134417
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.245293Z,2025-11-10T13:08:04.158206Z,0.087087
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.245293Z,2025-11-10T13:08:04.182708Z,0.062585
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.245293Z,2025-11-10T13:08:04.481047Z,-0.235754
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.492655Z,2025-11-10T13:08:04.481047Z,0.011608
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.492655Z,2025-11-10T13:08:04.715756Z,-0.223101
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.753098Z,2025-11-10T13:08:04.715756Z,0.037342
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:04.753098Z,2025-11-10T13:08:05.154815Z,-0.401717
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.062957Z,2025-11-10T13:08:05.154815Z,-0.091858
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.328395Z,2025-11-10T13:08:05.154815Z,0.17358
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.328395Z,2025-11-10T13:08:05.444952Z,-0.116557
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.482040Z,2025-11-10T13:08:05.444952Z,0.037088
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.482040Z,2025-11-10T13:08:05.463015Z,0.019025
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.482040Z,2025-11-10T13:08:05.728590Z,-0.24655
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:05.725892Z,2025-11-10T13:08:05.728590Z,-0.002698
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.064391Z,2025-11-10T13:08:05.728590Z,0.335801
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.064391Z,2025-11-10T13:08:06.176090Z,-0.111699
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.210038Z,2025-11-10T13:08:06.176090Z,0.033948
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.210038Z,2025-11-10T13:08:06.253535Z,-0.043497
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.567722Z,2025-11-10T13:08:06.253535Z,0.314187
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.567722Z,2025-11-10T13:08:06.676052Z,-0.10833
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.746272Z,2025-11-10T13:08:06.676052Z,0.07022
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.746272Z,2025-11-10T13:08:06.751990Z,-0.005718
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.971404Z,2025-11-10T13:08:06.751990Z,0.219414
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.971404Z,2025-11-10T13:08:06.963829Z,0.007575
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:06.971404Z,2025-11-10T13:08:07.186598Z,-0.215194
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.231771Z,2025-11-10T13:08:07.186598Z,0.045173
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.231771Z,2025-11-10T13:08:07.449892Z,-0.218121
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.467495Z,2025-11-10T13:08:07.449892Z,0.017603
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.467495Z,2025-11-10T13:08:07.720424Z,-0.252929
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.725566Z,2025-11-10T13:08:07.720424Z,0.005142
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.725566Z,2025-11-10T13:08:07.982884Z,-0.257318
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:07.960685Z,2025-11-10T13:08:07.982884Z,-0.022199
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:08.279925Z,2025-11-10T13:08:07.982884Z,0.297041
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:08.279925Z,2025-11-10T13:08:08.451917Z,-0.171992
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:08.503555Z,2025-11-10T13:08:08.451917Z,0.051638
